,Name,Description,Designator,Part Number,Price,Qty
,270 kOhms,RES SMD 316K OHM 1% 1/10W 0603,R122,Yageo Group AC0603FR-07316KL,0.0936,1
,10 Ohms,RES SMD 10K OHM 1% 1/10W 0603,"R125, R126","Yageo Group RT0603FRE0710KL, ",0.117,2
,82306050029,,"RV1, RV2, RV3, RV4, RV5, RV6, RV7, RV8, RV9, RV10, RV11, RV12","Wurth Elektronik 82306050029, ",8.70459,12
,M3 Screw,,"SC1, SC2, SC3, SC4",,,4
,STM32H723ZG,"Arm® Cortex®-M7 32-bit 550 MHz MCU, up to 1 MB Flash, 564 KB RAM, Ethernet, USB, 3x FD-CAN, Graphics, 2x 16-bit ADCs",U1,,,1
,KSZ8041TLI,IC ETHERNET PHY IND 48-TQFP,U2,Microchip KSZ8041TLI,3.18584,1
,"TJA1051T/3,118",High Speed CAN Transceiver,U3,"NXP Semiconductors TJA1051T/3,118",1803.25,1
,LM5013-Q1,"100-V Input, 3.5-A Non-Synchronous Buck DC/DC Converter with Ultra-low IQ",U4,,,1
,LM5013-Q1,,U5,,,1
,LT1963AEST-3.3#TRPBF,"Fixed Positive LDO Regulator, 3.3V, 0.55V Dropout, BIPolar, PDSO3",U6,Analog Devices LT1963AEST-3.3#TRPBF,3.668,1
,ULN2002A,"ULN200x, ULQ200x High-Voltage, High-Current Darlington Transistor Arrays",U7,,,1
,MCP6022-E/SN,"Operational Amplifier, 2 Func, 2500uV Offset-Max, CMOS, PDSO8","U8, U12, U14","Microchip MCP6022-E/SN, ",5.33507,3
,SN74HC32DR,4-ch 2-input 2-V to 6-V 5.2 mA drive strength OR gate 14-SOIC -40 to 85,"U15, U18","Texas Instruments SN74HC32DR, ",0.1434,2
,SN74ALVC08IPWRQ1,"AND Gate, ALVC/VCX/A Series, 4-Func, 2-Input, CMOS, PDSO14","U16, U17","Texas Instruments SN74ALVC08IPWRQ1, ",1.12,2
,LM339PWR,"Comparator, 4 Func, 5000uV Offset-Max, 300ns Response Time, BIPolar, PDSO14",U19,Texas Instruments LM339PWR,218.8,1
,25.000MHZ,25.000 MHz Ultra miniature ceramic glass sealed SMD crystal.,X1,,,1
,32.768KHZ,32.768kHz Crystal,X2,,,1
,50 MHz,XTAL OSC XO 50.0000MHZ CMOS SMD,Y1,,,1
